# dgg/dPsi( Psi ) for F_diiid_conventional, from F_diiid_conventional_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 3.050312803227917e-01.
# Amplitude 2.121420144975519e+00, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  +0.660000   +4.159550888416966e-01   +9.075477142050257e-01
  +0.670000   +4.250122779768964e-01   +9.037836823225114e-01
  +0.680000   +4.340286147666697e-01   +8.993753045903765e-01
  +0.690000   +4.429975960176267e-01   +8.943104787832062e-01
  +0.700000   +4.519125926821456e-01   +8.885761183166959e-01
  +0.710000   +4.607668394492180e-01   +8.821580363710481e-01
  +0.720000   +4.695534230884637e-01   +8.750408118631275e-01
  +0.730000   +4.782652693484387e-01   +8.672076336663574e-01
  +0.740000   +4.868951281701523e-01   +8.586401186013035e-01
  +0.750000   +4.954355569265281e-01   +8.493180975883339e-01
  +0.760000   +5.038789013354145e-01   +8.392193628787684e-01
  +0.770000   +5.122172736136545e-01   +8.283193673394037e-01
  +0.780000   +5.204425273371925e-01   +8.165908641825875e-01
  +0.790000   +5.285462283396063e-01   +8.040034720589657e-01
  +0.800000   +5.365196208082098e-01   +7.905231456962961e-01
  +0.810000   +5.443535875078074e-01   +7.761115257321998e-01
  +0.820000   +5.520386027555113e-01   +7.607251322323183e-01
  +0.830000   +5.595646763536789e-01   +7.443143533491017e-01
  +0.840000   +5.669212861140945e-01   +7.268221616847363e-01
  +0.850000   +5.740972958018508e-01   +7.081824630022416e-01
  +0.860000   +5.810808541778095e-01   +6.883179397565412e-01
  +0.870000   +5.878592691412149e-01   +6.671371866381347e-01
  +0.880000   +5.944188484678484e-01   +6.445308314442866e-01
  +0.890000   +6.007446947918680e-01   +6.203661640116039e-01
  +0.900000   +6.068204363872884e-01   +5.944795055134773e-01
  +0.910000   +6.126278653041567e-01   +5.666650347109367e-01
  +0.920000   +6.181464372862416e-01   +5.366578254882337e-01
  +0.930000   +6.233525570384256e-01   +5.041069447824893e-01
  +0.940000   +6.282185132773943e-01   +4.685304038604724e-01
  +0.950000   +6.327108055948565e-01   +4.292342967516816e-01
  +0.960000   +6.367873252458408e-01   +3.851536241406298e-01
  +0.970000   +6.403921193113176e-01   +3.344955963274153e-01
  +0.980000   +6.434441321475057e-01   +2.737645485686823e-01
  +0.990000   +6.458059510180989e-01   +1.939357210264562e-01
  +1.000000   +6.470995029244448e-01   +0.000000000000000e+00
