# dp/dPsi( Psi ) = 1.319062422222311e+05 * Psi^2, for the freegs4e limited tokamak.
#
# BUILT FROM H_limited_circular.npz, WHICH IS NOT THE GRID examples/limited-tokamak-pprime.dat
# CAME FROM, and the two are 6.03% apart in amplitude rather than the 0.22%
# the span would explain.  freegs4e's profile amplitudes are an OUTPUT of its
# control system, like its coil currents, so they converge in the grid: p on
# the axis is 46791.95 Pa at 129^2 and 43969.09 Pa at 513^2.  MEQ does not
# care -- the profile scale is an unknown that [source] PlasmaCurrent closes,
# and one common factor on both tables is absorbed exactly -- but DESC, NICE
# and anything else handed ABSOLUTE profiles does.
# tools/freegs4e-benchmark/make_freeb_profiles.py writes this pair.
#
# THE ABSCISSA IS Psi AND SO IS THE DERIVATIVE, WHICH IS THE HALF THAT COSTS
# A FACTOR OF THE SPAN.  meq::NormalisedMHDSource::f evaluates
#     F = scale * ( mu0 r^2 pprime( Psi ) + ggprime( Psi ) ) / span
# so what a table holds is d/dPsi, not d/dpsi.  freegs4e's saved arrays are
# d/dpsi -- its own docstring says otherwise and is wrong, which is the trap
# tools/freegs4e-benchmark/README.md records -- so converting them means
# MULTIPLYING by the span, here 6.686290e-02 = psi_ax - psi_bnd of the reference.
#
# freegs4e's psi_n runs the other way, psi_n = 1 - Psi, so its shape
# ( 1 - psi_n^1 )^2 is Psi^2 here.  j = 2, which meets FB-4's precondition.
# The shape is asserted against the reference's own array to 5.9e-16 before this
# file is written, so it is the reference's profile and not a model of it.
#
# THE RANGE REACHES OUTSIDE [ 0, 1 ] ON PURPOSE.  Psi is the solved
# normalisation, so a Newton iterate leaves the physical interval freely and
# meq::SplineProfile must find data where it is asked rather than extrapolate.
#
#   Psi            f( Psi )   [Pa]        f'( Psi )
   -0.300000   1.187156180000080e+04   -7.914374533333865e+04
   -0.275000   9.975409568056224e+03   -7.254843322222709e+04
   -0.250000   8.244140138889443e+03   -6.595312111111554e+04
   -0.225000   6.677753512500447e+03   -5.935780900000398e+04
   -0.200000   5.276249688889243e+03   -5.276249688889243e+04
   -0.175000   4.039628668055826e+03   -4.616718477778088e+04
   -0.150000   2.967890450000198e+03   -3.957187266666932e+04
   -0.125000   2.061035034722360e+03   -3.297656055555776e+04
   -0.100000   1.319062422222310e+03   -2.638124844444621e+04
   -0.075000   7.419726125000495e+02   -1.978593633333466e+04
   -0.050000   3.297656055555776e+02   -1.319062422222310e+04
   -0.025000   8.244140138889422e+01   -6.595312111111545e+03
    0.000000   4.064674907958252e-28   1.464453472069039e-11
    0.025000   8.244140138889458e+01   6.595312111111560e+03
    0.050000   3.297656055555783e+02   1.319062422222312e+04
    0.075000   7.419726125000501e+02   1.978593633333467e+04
    0.100000   1.319062422222312e+03   2.638124844444622e+04
    0.125000   2.061035034722363e+03   3.297656055555779e+04
    0.150000   2.967890450000200e+03   3.957187266666933e+04
    0.175000   4.039628668055829e+03   4.616718477778089e+04
    0.200000   5.276249688889245e+03   5.276249688889243e+04
    0.225000   6.677753512500451e+03   5.935780900000400e+04
    0.250000   8.244140138889446e+03   6.595312111111556e+04
    0.275000   9.975409568056231e+03   7.254843322222712e+04
    0.300000   1.187156180000081e+04   7.914374533333868e+04
    0.325000   1.393259683472316e+04   8.573905744445021e+04
    0.350000   1.615851467222331e+04   9.233436955556177e+04
    0.375000   1.854931531250125e+04   9.892968166667334e+04
    0.400000   2.110499875555698e+04   1.055249937777849e+05
    0.425000   2.382556500139050e+04   1.121203058888964e+05
    0.450000   2.671101405000180e+04   1.187156180000080e+05
    0.475000   2.976134590139089e+04   1.253109301111195e+05
    0.500000   3.297656055555777e+04   1.319062422222311e+05
    0.525000   3.635665801250246e+04   1.385015543333427e+05
    0.550000   3.990163827222491e+04   1.450968664444542e+05
    0.575000   4.361150133472514e+04   1.516921785555657e+05
    0.600000   4.748624720000321e+04   1.582874906666773e+05
    0.625000   5.152587586805902e+04   1.648828027777889e+05
    0.650000   5.573038733889265e+04   1.714781148889005e+05
    0.675000   6.009978161250405e+04   1.780734270000120e+05
    0.700000   6.463405868889322e+04   1.846687391111235e+05
    0.725000   6.933321856806023e+04   1.912640512222351e+05
    0.750000   7.419726125000499e+04   1.978593633333466e+05
    0.775000   7.922618673472753e+04   2.044546754444581e+05
    0.800000   8.441999502222791e+04   2.110499875555697e+05
    0.825000   8.977868611250602e+04   2.176452996666813e+05
    0.850000   9.530226000556198e+04   2.242406117777929e+05
    0.875000   1.009907167013957e+05   2.308359238889044e+05
    0.900000   1.068440562000072e+05   2.374312360000160e+05
    0.925000   1.128622785013965e+05   2.440265481111275e+05
    0.950000   1.190453836055635e+05   2.506218602222390e+05
    0.975000   1.253933715125084e+05   2.572171723333506e+05
    1.000000   1.319062422222311e+05   2.638124844444622e+05
    1.025000   1.385839957347316e+05   2.704077965555738e+05
    1.050000   1.454266320500098e+05   2.770031086666853e+05
    1.075000   1.524341511680658e+05   2.835984207777968e+05
    1.100000   1.596065530888996e+05   2.901937328889084e+05
    1.125000   1.669438378125112e+05   2.967890450000199e+05
    1.150000   1.744460053389006e+05   3.033843571111315e+05
    1.175000   1.821130556680678e+05   3.099796692222431e+05
    1.200000   1.899449888000128e+05   3.165749813333546e+05
    1.225000   1.979418047347356e+05   3.231702934444662e+05
    1.250000   2.061035034722361e+05   3.297656055555777e+05
    1.275000   2.144300850125145e+05   3.363609176666893e+05
    1.300000   2.229215493555705e+05   3.429562297778009e+05
    1.325000   2.315778965014044e+05   3.495515418889124e+05
