# dp/dPsi( Psi ) for D_tcv_conventional, from D_tcv_conventional_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 1.848073210639812e-02.
# Amplitude 4.603429899789140e+05, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  +0.660000   +5.468599034570044e+03   +1.193161157746208e+04
  +0.670000   +5.587674716270676e+03   +1.188212551112706e+04
  +0.680000   +5.706213308504794e+03   +1.182416817184530e+04
  +0.690000   +5.824129313202906e+03   +1.175758045056874e+04
  +0.700000   +5.941335577678582e+03   +1.168219029679430e+04
  +0.710000   +6.057743157778376e+03   +1.159781119512374e+04
  +0.720000   +6.173261164639532e+03   +1.150424040318749e+04
  +0.730000   +6.287796592440857e+03   +1.140125690358959e+04
  +0.740000   +6.401254124003501e+03   +1.128861901101353e+04
  +0.750000   +6.513535910438635e+03   +1.116606156075195e+04
  +0.760000   +6.624541320209089e+03   +1.103329258553182e+04
  +0.770000   +6.734166651918936e+03   +1.088998936198099e+04
  +0.780000   +6.842304803797038e+03   +1.073579367412699e+04
  +0.790000   +6.948844891097449e+03   +1.057030609563221e+04
  +0.800000   +7.053671800361800e+03   +1.039307903023468e+04
  +0.810000   +7.156665666477422e+03   +1.020360816394064e+04
  +0.820000   +7.257701254433034e+03   +1.000132186213514e+04
  +0.830000   +7.356647222200015e+03   +9.785567873387919e+03
  +0.840000   +7.453365233621743e+03   +9.555596453361206e+03
  +0.850000   +7.547708879614410e+03   +9.310538655165690e+03
  +0.860000   +7.639522350869154e+03   +9.049377978069191e+03
  +0.870000   +7.728638783193656e+03   +8.770912708231210e+03
  +0.880000   +7.814878163682318e+03   +8.473704919446891e+03
  +0.890000   +7.898044635324013e+03   +8.156009859239643e+03
  +0.900000   +7.977922957561967e+03   +7.815675627326986e+03
  +0.910000   +8.054273748837431e+03   +7.449996273333702e+03
  +0.920000   +8.126826911962503e+03   +7.055488789743649e+03
  +0.930000   +8.195272237466103e+03   +6.627539427956698e+03
  +0.940000   +8.259245402609447e+03   +6.159811438665224e+03
  +0.950000   +8.318305974506020e+03   +5.643181977547420e+03
  +0.960000   +8.371900345691278e+03   +5.063649402635856e+03
  +0.970000   +8.419292898096839e+03   +4.397643746198274e+03
  +0.980000   +8.459417985870019e+03   +3.599207188860638e+03
  +0.990000   +8.490469031384384e+03   +2.549690399815131e+03
  +1.000000   +8.507475474858626e+03   +0.000000000000000e+00
