# dgg/dPsi( Psi ) for D_tcv_conventional, from D_tcv_conventional_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 1.848073210639812e-02.
# Amplitude 6.873258384788419e-01, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  +0.660000   +8.165019341149536e-03   +1.781477096514193e-02
  +0.670000   +8.342808065098772e-03   +1.774088463956044e-02
  +0.680000   +8.519794875092662e-03   +1.765435008231724e-02
  +0.690000   +8.695852116244344e-03   +1.755492973193697e-02
  +0.700000   +8.870849663202552e-03   +1.744236670440300e-02
  +0.710000   +9.044654715824401e-03   +1.731638251854961e-02
  +0.720000   +9.217131570373408e-03   +1.717667446515303e-02
  +0.730000   +9.388141362338927e-03   +1.702291254903511e-02
  +0.740000   +9.557541776183842e-03   +1.685473591629681e-02
  +0.750000   +9.725186716342409e-03   +1.667174865658699e-02
  +0.760000   +9.890925932550870e-03   +1.647351484135863e-02
  +0.770000   +1.005460459102125e-02   +1.625955262095356e-02
  +0.780000   +1.021606278095605e-02   +1.602932715265887e-02
  +0.790000   +1.037513494329900e-02   +1.578224206366476e-02
  +0.800000   +1.053164920521611e-02   +1.551762905993230e-02
  +0.810000   +1.068542659930511e-02   +1.523473516369023e-02
  +0.820000   +1.083628014051136e-02   +1.493270688254355e-02
  +0.830000   +1.098401372555554e-02   +1.461057035728088e-02
  +0.840000   +1.112842080841237e-02   +1.426720616463124e-02
  +0.850000   +1.126928278958434e-02   +1.390131690317376e-02
  +0.860000   +1.140636703434869e-02   +1.351138486278085e-02
  +0.870000   +1.153942440223103e-02   +1.309561579657351e-02
  +0.880000   +1.166818612076395e-02   +1.265186277529261e-02
  +0.890000   +1.179235976106870e-02   +1.217752075555742e-02
  +0.900000   +1.191162395321160e-02   +1.166937679245909e-02
  +0.910000   +1.202562128297291e-02   +1.112339070367484e-02
  +0.920000   +1.213394847544632e-02   +1.053436210359313e-02
  +0.930000   +1.223614236514555e-02   +9.895402327252938e-03
  +0.940000   +1.233165899150779e-02   +9.197050143298727e-03
  +0.950000   +1.241984075593895e-02   +8.425684476229631e-03
  +0.960000   +1.249986108190142e-02   +7.560399847924251e-03
  +0.970000   +1.257062163768027e-02   +6.566004568301158e-03
  +0.980000   +1.263053133587943e-02   +5.373880243198722e-03
  +0.990000   +1.267689282363617e-02   +3.806874721812664e-03
  +1.000000   +1.270228469073294e-02   +0.000000000000000e+00
