# dp/dPsi( Psi ) for D_tcv_conventional, from D_tcv_conventional.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 1.846917717363169e-02.
# Amplitude 4.615693137791951e+05, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  +0.660000   +5.479738719739182e+03   +1.195591659519937e+04
  +0.670000   +5.599056961846430e+03   +1.190632972439949e+04
  +0.680000   +5.717837020421293e+03   +1.184825432443916e+04
  +0.690000   +5.835993223232384e+03   +1.178153096216086e+04
  +0.700000   +5.953438240060875e+03   +1.170598723658996e+04
  +0.710000   +6.070082945571659e+03   +1.162143625239126e+04
  +0.720000   +6.185836265758890e+03   +1.152767485420345e+04
  +0.730000   +6.300605005345987e+03   +1.142448157441215e+04
  +0.740000   +6.414293652990406e+03   +1.131161423538125e+04
  +0.750000   +6.526804160482472e+03   +1.118880713225567e+04
  +0.760000   +6.638035691295829e+03   +1.105576770301709e+04
  +0.770000   +6.747884332791982e+03   +1.091217256689706e+04
  +0.780000   +6.856242765030573e+03   +1.075766277822743e+04
  +0.790000   +6.962999877390403e+03   +1.059183809702825e+04
  +0.800000   +7.068040321923855e+03   +1.041425001527178e+04
  +0.810000   +7.171243989349763e+03   +1.022439319166292e+04
  +0.820000   +7.272485389549715e+03   +1.002169482715143e+04
  +0.830000   +7.371632912947803e+03   +9.805501341653131e+03
  +0.840000   +7.468547941592885e+03   +9.575061463580618e+03
  +0.850000   +7.563083768161860e+03   +9.329504475976099e+03
  +0.860000   +7.655084265958064e+03   +9.067811807467719e+03
  +0.870000   +7.744382230882272e+03   +8.788779296291157e+03
  +0.880000   +7.830797283337693e+03   +8.490966087146715e+03
  +0.890000   +7.914133167347138e+03   +8.172623873449492e+03
  +0.900000   +7.994174203902952e+03   +7.831596371437524e+03
  +0.910000   +8.070680523819637e+03   +7.465172118640984e+03
  +0.920000   +8.143381479713958e+03   +7.069861012562561e+03
  +0.930000   +8.211966230209699e+03   +6.641039906270572e+03
  +0.940000   +8.276069710432730e+03   +6.172359142326474e+03
  +0.950000   +8.335250590322756e+03   +5.654677292926119e+03
  +0.960000   +8.388954134701744e+03   +5.073964194376058e+03
  +0.970000   +8.436443227027277e+03   +4.406601866277840e+03
  +0.980000   +8.476650050697046e+03   +3.606538871927717e+03
  +0.990000   +8.507764348036790e+03   +2.554884188599638e+03
  +1.000000   +8.524805434099555e+03   +0.000000000000000e+00
