# dgg/dPsi( Psi ) for F_diiid_conventional, from F_diiid_conventional.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 3.050361321397491e-01.
# Amplitude 2.121824382716063e+00, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  +0.660000   +4.160409667337349e-01   +9.077350860793238e-01
  +0.670000   +4.251000258119444e-01   +9.039702770765571e-01
  +0.680000   +4.341182241103713e-01   +8.995609891928287e-01
  +0.690000   +4.430890570929798e-01   +8.944951177041039e-01
  +0.700000   +4.520058943435177e-01   +8.887595733242284e-01
  +0.710000   +4.608619691542139e-01   +8.823401663044002e-01
  +0.720000   +4.696503668673858e-01   +8.752214723776547e-01
  +0.730000   +4.783640117710429e-01   +8.673866769465977e-01
  +0.740000   +4.869956523093507e-01   +8.588173930364121e-01
  +0.750000   +4.955378443186313e-01   +8.494934474033680e-01
  +0.760000   +5.039829319364338e-01   +8.393926277137833e-01
  +0.770000   +5.123230257510933e-01   +8.284903817664653e-01
  +0.780000   +5.205499776566471e-01   +8.167594571484027e-01
  +0.790000   +5.286553517453590e-01   +8.041694662377223e-01
  +0.800000   +5.366303903968221e-01   +7.906863567332111e-01
  +0.810000   +5.444659744935006e-01   +7.762717613528339e-01
  +0.820000   +5.521525763858386e-01   +7.608821911853860e-01
  +0.830000   +5.596802038136222e-01   +7.444680241404784e-01
  +0.840000   +5.670383324162294e-01   +7.269722210464478e-01
  +0.850000   +5.742158236595714e-01   +7.083286740205285e-01
  +0.860000   +5.812008238577083e-01   +6.884600495547001e-01
  +0.870000   +5.879806382894794e-01   +6.672749234679650e-01
  +0.880000   +5.945415719037761e-01   +6.446639009766543e-01
  +0.890000   +6.008687242590530e-01   +6.204942445180970e-01
  +0.900000   +6.069457202492261e-01   +5.946022414726301e-01
  +0.910000   +6.127543481651375e-01   +5.667820281075274e-01
  +0.920000   +6.182740595089988e-01   +5.367686236105192e-01
  +0.930000   +6.234812541142186e-01   +5.042110224652515e-01
  +0.940000   +6.283482149762242e-01   +4.686271364273258e-01
  +0.950000   +6.328414347702458e-01   +4.293229162627404e-01
  +0.960000   +6.369187960575602e-01   +3.852331427767504e-01
  +0.970000   +6.405243343671245e-01   +3.345646561309356e-01
  +0.980000   +6.435769773204476e-01   +2.738210698686412e-01
  +0.990000   +6.459392838110541e-01   +1.939757609042206e-01
  +1.000000   +6.472331027835184e-01   +0.000000000000000e+00
