# dgg/dPsi( Psi ) for C_mast_spherical, from C_mast_spherical_shaped.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 8.085139507540710e-02.
# Amplitude 5.683281208605514e-01, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  +0.660000   +2.953670456587041e-02   +6.444438217729463e-02
  +0.670000   +3.017984976798482e-02   +6.417710068303541e-02
  +0.680000   +3.082009407120399e-02   +6.386406460250224e-02
  +0.690000   +3.145697568792866e-02   +6.350441456441623e-02
  +0.700000   +3.209002389373106e-02   +6.309722129880388e-02
  +0.710000   +3.271875828820762e-02   +6.264147740867373e-02
  +0.720000   +3.334268796729487e-02   +6.213608785278487e-02
  +0.730000   +3.396131059292669e-02   +6.157985888380146e-02
  +0.740000   +3.457411134305559e-02   +6.097148512392074e-02
  +0.750000   +3.518056172149762e-02   +6.030953437971021e-02
  +0.760000   +3.578011820257743e-02   +5.959242969315340e-02
  +0.770000   +3.637222067986280e-02   +5.881842798803650e-02
  +0.780000   +3.695629068099681e-02   +5.798559448741164e-02
  +0.790000   +3.753172930122135e-02   +5.709177183111117e-02
  +0.800000   +3.809791479588303e-02   +5.613454248614884e-02
  +0.810000   +3.865419975594742e-02   +5.511118257875962e-02
  +0.820000   +3.919990776877096e-02   +5.401860462664040e-02
  +0.830000   +3.973432943681472e-02   +5.285328572425797e-02
  +0.840000   +4.025671758622979e-02   +5.161117639260228e-02
  +0.850000   +4.076628144010477e-02   +5.028758332221862e-02
  +0.860000   +4.126217944953555e-02   +4.887701624372949e-02
  +0.870000   +4.174351035657291e-02   +4.737298452462458e-02
  +0.880000   +4.220930188514080e-02   +4.576772171480729e-02
  +0.890000   +4.265849618282800e-02   +4.405180415053560e-02
  +0.900000   +4.308993070385343e-02   +4.221360910311851e-02
  +0.910000   +4.350231251334755e-02   +4.023852133814267e-02
  +0.920000   +4.389418277682777e-02   +3.810772862173345e-02
  +0.930000   +4.426386600749338e-02   +3.579631142176173e-02
  +0.940000   +4.460939444485689e-02   +3.327004402684802e-02
  +0.950000   +4.492838924637237e-02   +3.047965261826284e-02
  +0.960000   +4.521786029701725e-02   +2.734951227642174e-02
  +0.970000   +4.547383441583206e-02   +2.375231815247147e-02
  +0.980000   +4.569055589344341e-02   +1.943984533089687e-02
  +0.990000   +4.585826713941727e-02   +1.377125139321841e-02
  +1.000000   +4.595012143216016e-02   +0.000000000000000e+00
