# dp/dPsi( Psi ) for F_diiid_conventional, from F_diiid_conventional.npz
#
# Psi = 1 - psi_n: freegs4e's normalised flux is 0 on the AXIS and
# 1 on the boundary, and MEQ's is the other way up.
# The values are d/dpsi in the reference and d/dPsi here, so they
# carry a factor of the span 3.050361321397491e-01.
# Amplitude 4.780260380527742e+05, shape ( 1 - psi_n^1.5 )^2.
#
#   Psi            value                    d/dPsi
  +0.660000   +9.372991309525675e+04   +2.045037328888398e+05
  +0.670000   +9.577082946652554e+04   +2.036555586731612e+05
  +0.680000   +9.780254030842519e+04   +2.026621897426964e+05
  +0.690000   +9.982358021334899e+04   +2.015208990228962e+05
  +0.700000   +1.018324554141231e+05   +2.002287376271080e+05
  +0.710000   +1.038276414384429e+05   +1.987825087453338e+05
  +0.720000   +1.058075804823528e+05   +1.971787374428491e+05
  +0.730000   +1.077706784579553e+05   +1.954136355572406e+05
  +0.740000   +1.097153016614747e+05   +1.934830606850206e+05
  +0.750000   +1.116397729964942e+05   +1.913824679939901e+05
  +0.760000   +1.135423676729580e+05   +1.891068532651609e+05
  +0.770000   +1.154213082844835e+05   +1.866506851305473e+05
  +0.780000   +1.172747591434224e+05   +1.840078238911596e+05
  +0.790000   +1.191008197232348e+05   +1.811714235164739e+05
  +0.800000   +1.208975170186993e+05   +1.781338123599734e+05
  +0.810000   +1.226627965828685e+05   +1.748863466526582e+05
  +0.820000   +1.243945119305731e+05   +1.714192287731552e+05
  +0.830000   +1.260904119044600e+05   +1.677212793555084e+05
  +0.840000   +1.277481254702193e+05   +1.637796480387426e+05
  +0.850000   +1.293651432263360e+05   +1.595794413710057e+05
  +0.860000   +1.309387946546597e+05   +1.551032368781528e+05
  +0.870000   +1.324662197601267e+05   +1.503304375968442e+05
  +0.880000   +1.339443331832343e+05   +1.452363979647763e+05
  +0.890000   +1.353697780019415e+05   +1.397912135225129e+05
  +0.900000   +1.367388650668788e+05   +1.339580014367739e+05
  +0.910000   +1.380474914601770e+05   +1.276903826455903e+05
  +0.920000   +1.392910278086110e+05   +1.209286595939328e+05
  +0.930000   +1.404641572281705e+05   +1.135937542121534e+05
  +0.940000   +1.415606353519841e+05   +1.055770567890343e+05
  +0.950000   +1.425729133113348e+05   +9.672220489974633e+04
  +0.960000   +1.434915024640289e+05   +8.678921520001751e+04
  +0.970000   +1.443037945685066e+05   +7.537410652150163e+04
  +0.980000   +1.449915248201021e+05   +6.168917759212795e+04
  +0.990000   +1.455237290975011e+05   +4.370081954879913e+04
  +1.000000   +1.458152137097068e+05   +0.000000000000000e+00
